@RELATION char_3

@ATTRIBUTE char    REAL
@ATTRIBUTE class    {+1, -1}

@DATA
6.56034482759,+1
5.84674329502,+1
5.09734513274,+1
5.93609022556,+1
12.9807692308,+1
5.06140350877,+1
8.11304347826,+1
8.61458333333,+1
11.3191489362,+1
10.9411764706,+1
12.9807692308,+1
10.8867924528,+1
10.75,+1
11.0784313725,+1
6.39444444444,+1
6.73372781065,+1
6.73964497041,+1
9.96153846154,+1
6.71176470588,+1
2.54,+1
4.13043478261,+1
9.86440677966,+1
9.94871794872,+1
9.86440677966,+1
2.27868852459,+1
4.34782608696,+1
6.70175438596,+1
2.26890756303,+1
12.9803921569,+1
4.98148148148,+1
5.10062893082,+1
10.0535714286,+1
2.44628099174,+1
10.009009009,+1
10.8155339806,+1
9.83018867925,+1
3.46808510638,+1
9.76635514019,+1
9.89565217391,+1
22.3095238095,+1
8.30769230769,+1
12.9230769231,+1
6.26666666667,+1
8.6880733945,+1
10.5393258427,+1
39.4074074074,+1
10.975,+1
2.77173913043,+1
67.875,+1
9.9,+1
6.67857142857,+1
29.4375,+1
6.62068965517,+1
12.0447761194,+1
10.2916666667,+1
15.7272727273,+1
11.393442623,+1
9.13235294118,+1
1.14285714286,+1
13.625,+1
10.8876404494,+1
0.722222222222,+1
11.2804878049,+1
4.125,+1
10.6138613861,+1
19.5555555556,+1
3.88764044944,+1
2.86585365854,+1
11.5161290323,+1
14.5,+1
15.9512195122,+1
14.693877551,+1
15.0,+1
15.0,+1
14.6388888889,+1
11.0810810811,+1
11.8472222222,+1
12.5666666667,+1
15.0,+1
5.38461538462,+1
4.0,+1
6.77777777778,+1
1.65573770492,+1
6.32727272727,+1
13.2391304348,+1
6.28,+1
7.25,+1
16.4054054054,+1
10.1739130435,+1
11.875,+1
4.47422680412,+1
15.0,+1
16.0,+1
15.1315789474,+1
9.47826086957,+1
6.72448979592,+1
4.83333333333,+1
9.00862068966,+1
15.9722222222,+1
2.4358974359,+1
3.30952380952,+1
27.9090909091,+1
13.0632911392,+1
5.29245283019,+1
6.47727272727,+1
9.91428571429,+1
2.93243243243,+1
12.859375,+1
8.0,+1
85.9166666667,+1
6.41346153846,+1
4.12121212121,+1
5.85185185185,+1
9.76666666667,+1
16.3714285714,+1
5.22580645161,+1
91.4,+1
6.53333333333,+1
9.27906976744,+1
6.0824742268,+1
10.8780487805,+1
30.0,+1
0.555555555556,+1
42.0,+1
2.5,+1
35.2727272727,+1
4.5,+1
5.15533980583,+1
21.2,+1
341.0,+1
13.7358490566,+1
9.86734693878,+1
3.75949367089,+1
10.9166666667,+1
94.25,+1
3.67088607595,+1
348.0,+1
348.0,+1
348.0,+1
525.5,+1
3.67532467532,+1
13.5476190476,+1
1.0,+1
85.9166666667,+1
7.05208333333,+1
6.41346153846,+1
2.2,+1
9.13157894737,+1
4.0,+1
108.142857143,+1
34.1538461538,+1
84.3333333333,+1
10.1,+1
5.1,+1
5.04424778761,+1
94.25,+1
9.35897435897,+1
5.04424778761,+1
7.53125,+1
14.8076923077,+1
42.0,+1
8.61363636364,+1
8.5,+1
1.75,+1
307.0,+1
66.1666666667,+1
9.75862068966,+1
8.51162790698,+1
12.1594202899,+1
21.2222222222,+1
10.44,+1
36.8461538462,+1
4.74137931034,+1
3.10909090909,+1
4.23595505618,+1
5.66666666667,+1
5.15533980583,+1
10.0,+1
3.425,+1
42.0,+1
10.9375,+1
20.3,+1
4.5,+1
2.17391304348,+1
3.67816091954,+1
3.55696202532,+1
22.5625,+1
6.26086956522,+1
3.69918699187,+1
3.47435897436,+1
7.41176470588,+1
8.98666666667,+1
3.44086021505,+1
4.58333333333,+1
1.0,+1
7.15384615385,+1
3.86138613861,+1
4.54545454545,+1
14.6153846154,+1
2.17777777778,+1
9.6,+1
9.0,+1
5.33333333333,+1
6.36,+1
5.78571428571,+1
10.8571428571,+1
3.03571428571,+1
3.66666666667,+1
7.8,+1
7.77777777778,+1
7.4375,+1
8.29411764706,+1
2.16666666667,+1
4.82352941176,+1
4.88235294118,+1
2.08333333333,+1
5.65656565657,+1
3.21739130435,+1
0.882352941176,+1
8.48148148148,+1
4.67346938776,+1
6.34939759036,+1
83.3333333333,+1
5.1935483871,+1
4.62626262626,+1
5.85057471264,+1
5.95192307692,+1
8.69047619048,+1
35.0,+1
4.11764705882,+1
2.34693877551,+1
4.9801980198,+1
24.5789473684,+1
4.0,+1
10.8235294118,+1
72.0,+1
247.333333333,+1
2.0,+1
23.3333333333,+1
5.92592592593,+1
4.62626262626,+1
15.4444444444,+1
4.16304347826,+1
6.51428571429,+1
38.0909090909,+1
9.38888888889,+1
3.64285714286,+1
116.857142857,+1
4.26744186047,+1
10.2,+1
2.0,+1
3.6,+1
13.0833333333,+1
5.68181818182,+1
5.25,+1
5.52577319588,+1
6.46376811594,+1
4.02173913043,+1
6.72727272727,+1
10.4666666667,+1
9.21621621622,+1
5.81818181818,+1
4.96296296296,+1
3.88235294118,+1
23.0,+1
19.0714285714,+1
3.63106796117,+1
8.10526315789,+1
8.74074074074,+1
26.0,+1
5.09,+1
4.0,+1
14.5,+1
3.66666666667,+1
8.5,+1
6.3,+1
3.44086021505,+1
7.86,+1
6.81481481481,+1
2.33333333333,+1
10.1875,+1
5.26666666667,+1
14.25,+1
21.5,+1
3.3152173913,+1
3.75862068966,+1
4.5652173913,+1
5.49484536082,+1
3.8,+1
4.52380952381,+1
