@RELATION char_7

@ATTRIBUTE char    REAL
@ATTRIBUTE class    {+1, -1}

@DATA
5.52264762669e-07,+1
8.9070285179e-07,+1
2.029548916e-06,+1
6.23469964992e-07,+1
1.02372082847e-05,+1
5.43392771847e-07,+1
7.26793495665e-07,+1
5.36776336036e-07,+1
5.36776336036e-07,+1
5.36776336036e-07,+1
1.05414209382e-05,+1
5.36776336036e-07,+1
5.58555634357e-07,+1
1.14966559923e-05,+1
1.42065484239e-06,+1
2.41544050551e-05,+1
2.58141564105e-05,+1
5.72130410868e-07,+1
3.1774722705e-06,+1
1.14842981501e-06,+1
3.26732485098e-06,+1
8.17272266595e-07,+1
3.64616997366e-06,+1
1.42069012503e-06,+1
9.07061529e-07,+1
5.90755852421e-07,+1
7.86294105426e-07,+1
7.63536957819e-07,+1
5.62339030453e-07,+1
1.52517180112e-06,+1
2.20598733215e-06,+1
8.05838565329e-06,+1
8.50250381088e-07,+1
1.0810753054e-06,+1
5.90755852421e-07,+1
8.38400908193e-07,+1
1.43228309225e-06,+1
7.6162625382e-07,+1
1.46313954904e-06,+1
1.02555090013e-06,+1
5.40844114853e-06,+1
9.03839011175e-07,+1
6.8717669842e-07,+1
7.33744655449e-07,+1
6.6960822369e-07,+1
8.74790609272e-07,+1
6.37372534523e-07,+1
8.23400397553e-07,+1
1.27727928351e-05,+1
5.90755852421e-07,+1
4.39851109117e-06,+1
7.18504947183e-07,+1
9.71193518763e-07,+1
5.78198424508e-07,+1
2.74333621678e-06,+1
6.69092244393e-07,+1
8.13352646694e-07,+1
7.99119892029e-07,+1
1.43822294055e-06,+1
5.72084733346e-07,+1
9.62956187602e-07,+1
6.74804053497e-07,+1
5.90755852421e-07,+1
1.41331073882e-06,+1
6.41801738315e-07,+1
6.64996230447e-06,+1
1.01944319222e-06,+1
7.70598055517e-07,+1
1.33002280277e-06,+1
8.23010931594e-07,+1
9.98223072396e-07,+1
1.2077872987e-05,+1
1.53794260916e-05,+1
1.16701581571e-05,+1
6.71613485895e-07,+1
1.14362482025e-06,+1
9.47575968376e-06,+1
5.85365397756e-07,+1
1.75579521333e-06,+1
6.62366352386e-07,+1
8.44289073095e-07,+1
6.39750693126e-07,+1
7.30347020598e-07,+1
6.62701569912e-07,+1
6.39157642022e-07,+1
6.5296314676e-07,+1
4.07883924182e-06,+1
6.67614996211e-07,+1
1.22520316214e-06,+1
8.05446900524e-07,+1
7.19030659852e-07,+1
1.79136686226e-06,+1
7.11060994245e-07,+1
6.65647853773e-07,+1
6.22329170643e-07,+1
1.25244532787e-06,+1
6.5296314676e-07,+1
2.23000086171e-05,+1
6.16950502077e-07,+1
6.00049711963e-07,+1
6.30547459048e-07,+1
9.55067144594e-06,+1
2.36573568445e-05,+1
1.69974023608e-06,+1
5.36776336036e-07,+1
2.8546823102e-06,+1
6.57215638501e-07,+1
7.03948024701e-07,+1
4.30928145602e-06,+1
2.48308438896e-05,+1
2.11505549783e-06,+1
1.27037668429e-06,+1
1.06869996303e-06,+1
7.9976182213e-07,+1
1.12414529866e-05,+1
8.31295463522e-07,+1
5.46535791481e-07,+1
3.18204836078e-06,+1
6.49453845085e-07,+1
6.76120751451e-07,+1
9.01142573269e-07,+1
1.00827889205e-06,+1
6.54776451227e-07,+1
1.57129632728e-05,+1
7.53252568633e-07,+1
8.80946843641e-06,+1
3.17693298151e-06,+1
6.940440553e-07,+1
1.65416084563e-06,+1
5.62339030453e-07,+1
6.41799811796e-07,+1
3.25907002066e-05,+1
7.78638815764e-07,+1
2.34253246284e-06,+1
5.90755852421e-07,+1
7.01851858734e-07,+1
1.08192053905e-06,+1
1.21411717997e-06,+1
1.2712525931e-06,+1
1.04569158302e-06,+1
1.64622507178e-06,+1
5.77464665947e-07,+1
6.70788819481e-07,+1
1.2134223209e-06,+1
1.03624534172e-06,+1
2.52819646455e-06,+1
8.75030214974e-07,+1
6.45458366468e-07,+1
5.36776336036e-07,+1
2.32687221743e-06,+1
1.59516804174e-05,+1
7.59559023966e-07,+1
5.90755852421e-07,+1
7.49973193636e-07,+1
2.93839796167e-06,+1
